link user,user,waktu posting,komen,likes
https://www.instagram.com/mrs.sartika21/,mrs.sartika21,14h,So bgt jd pahlawan.. pdhal awalnya dr dia2 jg dulu ngasih ijin 🤮🤮🤮,3 likes
https://www.instagram.com/irjanailalulya/,irjanailalulya,22h,Heleh,5 likes
https://www.instagram.com/mrs.sartika21/,mrs.sartika21,14h,Dihhh 🤮,1 like
https://www.instagram.com/nikeeeell/,nikeeeell,7h,alah alah alah,1 like
https://www.instagram.com/edvngn/,edvngn,7h,👎🏻,1 like
https://www.instagram.com/fauziramadan1098/,fauziramadan1098,1h,😂,1 like
https://www.instagram.com/fauziramadan1098/,fauziramadan1098,1h,😂,1 like
https://www.instagram.com/fauziramadan1098/,fauziramadan1098,1h,😂,1 like
https://www.instagram.com/fauziramadan1098/,fauziramadan1098,1h,😂,1 like
https://www.instagram.com/fauziramadan1098/,fauziramadan1098,1h,😂,1 like
https://www.instagram.com/fauziramadan1098/,fauziramadan1098,1h,😂,1 like
https://www.instagram.com/fauziramadan1098/,fauziramadan1098,1h,😂,1 like
https://www.instagram.com/maisarchmn/,maisarchmn,9h,"Pak, bapak ada ajudan, Minta tolong pak mereka pasti mau bantuiiiiiiiin",1 like
https://www.instagram.com/wilis1135/,wilis1135,14h,"Ga tau nanti meninggal nya kayak mana,",27 likes
https://www.instagram.com/agustiantanjung1/,agustiantanjung1,1d,Ayo lebih kreatif lagi 🤢🤢🤢🤮🤮🤮🤮🤮,2 likes
https://www.instagram.com/bee76553/,bee76553,4h,"Sok jadi pahlawan, padahal dialah tersangkanya😂",4 likes
https://www.instagram.com/marshadhiaa/,marshadhiaa,8h,Pahlawan sekali pak wakkaakka bisa masuk avengers,4 likes
https://www.instagram.com/aaisyahrina/,aaisyahrina,1d,"Kalau Bapak normal, kok bisa sih gak malu?…………………",9 likes
https://www.instagram.com/muhammadyusril86/,muhammadyusril86,13h,Cuih,4 likes
https://www.instagram.com/noviiaatika/,noviiaatika,1h,idihh,2 likes
https://www.instagram.com/ibu_jaman_dulu/,ibu_jaman_dulu,13h,"Netijen dahlah, percuma mengumpat kalo 2029 masih aja nyoblos partainya jg",3 likes
https://www.instagram.com/wiolaputrii/,wiolaputrii,9h,Debut drakornya kapan nih pak zul ? Menjiwai banget perannya 😍 semangat debutnya pak,4 likes
https://www.instagram.com/arihamzah7/,arihamzah7,21h,🤦‍♂️🤦‍♂️,9 likes
https://www.instagram.com/marlon.gerber/,marlon.gerber,4h,🖕,1 like
https://www.instagram.com/visitsipirok/,visitsipirok,20h,"Olo, baemma jeges baen",3 likes
https://www.instagram.com/afrikaizen/,afrikaizen,1h,Taekkkk,1 like
https://www.instagram.com/ibu.peradaban/,ibu.peradaban,1d,"Muak banget lihatnya, Yaa Allah 😩🤮",1 like
https://www.instagram.com/instacomid/,instacomid,1h,"hoek, cuih.",Reply
https://www.instagram.com/aalfi.rmdhni_/,aalfi.rmdhni_,1h,its not funny,Reply
https://www.instagram.com/kaniasekarayunii/,kaniasekarayunii,1h,caper,Reply
